Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
658--Made-Up Articles Of Textile Materials,1651170265,2358424079,3048916283,3949013647,4597514313,5097700704,5130203189,4652920107,5818046142,6151412264,6279833898,6721119780,7006313719,7597658015,7484662181
657--Special Yarns; Special Textile Fabrics; Etc.,92373869,133623084,205341591,295480293,333758541,371348667,444803778,405889657,547392151,655899571,757219633,844383076,955246155,1057016470,1057373943
656--Tulles; Lace; Embroidery; Ribbons; Trimmings; Etc,65200665,93111852,129286525,183854688,160858462,149921787,157249878,131861702,143038498,175102319,187600622,203891619,208614074,228395077,217640338
655--Knitted Or Crocheted Fabrics,39845687,50132605,56425117,132032767,120070467,146302081,155144878,176920379,233882376,318757917,414452235,437216441,454067864,483785431,473194024
654--Woven Fabrics Of Textile Material; Not Cotton Or,66653663,82753941,136665231,145466436,174327106,203071041,250679853,90530346,108314538,139505049,154919498,142085034,137580140,135651621,118151654
653--Woven Fabrics; Manmade Textile Material,101971056,114226006,124488659,228650911,281548454,305886905,307507046,256675271,315099471,386757233,409255508,449367331,463501260,489438865,438190823
652--Cotton Fabrics; Woven,189575230,184240105,165982136,192777287,241377130,245287372,241050490,181766983,256965481,290523836,274192225,269378902,256885889,269712188,230436251
651--Textile Yarn,50720186,68223283,100535672,174238658,216407772,245335757,295669075,196463746,351774948,407179179,412200643,437194993,503714980,504825773,466643880
642--Paper & Paperboard; Cut To Size Or Shape; Article,713746017,874169148,1072696817,1273067210,1387453613,1583440689,1764962412,1530991480,1895362004,2047704869,2207962658,2230092189,2366924108,2590884707,2719479943
641--Paper And Paperboard,78637844,148608707,190400542,262458525,432545842,509112926,507634023,480595562,315871741,287148791,345902530,377879905,413315157,375192116,361299520
635--Wood Manufactures,875775106,977461424,1138233981,1309163966,1522452449,1605747983,1643973635,1366746822,1571864586,1526594559,1646094196,1818280282,1918820633,2100792451,2072470355
634--Veneers; Plywood and Particle Board,110941117,179661975,466211478,695064020,1120378082,1158582116,1020950100,833857646,1043919998,1119715135,1355498233,1315775729,1593231623,1654922041,1604503287
633--Cork Manufactures,3083185,5888160,8690845,11546949,19176379,21606171,27640609,23209438,26706427,25123729,24553050,25497571,23533403,27127011,23151978
629--Articles Of Rubber,145287393,173951742,241740599,302836520,378921504,418193519,455411852,352407330,557434177,669325047,787229819,780108966,823094747,836596871,800131020
625--Rubber Tires and Accessories,456195123,592722545,880625261,1421612902,1903627424,2438418769,2582645644,2220467232,2321301829,2837530674,3447962826,3989829119,4309059998,2985517803,2194552100
621--Materials Of Rubber,14166588,27745227,42039279,57750226,77884738,95629798,103271032,91901510,140342988,182559715,197254481,263084006,348267580,273221513,259669808
613--Furskins; Tanned Or Dressed,2838860,4164660,3921163,3096414,2271469,4243549,4511080,3386225,3150712,3970831,2836218,3471757,3758402,3329980,2703869
612--Manufactures Of Leather,87338862,131504379,168386771,189592321,243993439,272177297,245507667,215984174,307521203,395022258,360800284,374548960,397870452,402371345,353572341
611--Leather,14189411,37009349,54048843,50492724,45258107,41510035,30616633,16929838,22409828,20266704,26575710,25473629,25292796,28285626,23079904
599--RESIDUAL PRODUCTS OF THE CHEM/ALLIES IND.; WASTES,17972,54779,156742,2385,33979,42419,249133,4291869,7317686,15655500,31542236,6861249,2882325,3056511,6572989
598--Miscellaneous Chemical Products,124543800,192420530,203314317,263629148,371929652,424428505,513071958,411937303,663133185,953700692,918791373,815267481,900611235,1034517550,998921417
597--Additives For Mineral Oils,166221,267716,275484,1002170,1464777,2699502,3287044,5475708,7010281,10957354,10298577,7952144,10415561,16637511,9907978
593--Explosives And Pyrotechnic Products,141043764,168346125,175778909,209689650,212610798,212101520,197732014,216539976,199968016,233160348,232358960,215819250,267264678,335063229,318420593
592--Starches; Inulin & Wheat Gluten; Albumin Substitu,18831704,33628835,53031058,64281431,87915028,90849256,91850172,71709529,96830725,107266764,137576368,154351115,172107243,176295977,172966673
591--Insecticides; Disinfectants,26210047,62171671,34063695,56357118,74330158,67453016,157414049,146397379,133852198,156939487,154857074,188099863,172746348,226892472,243442620
583--Monofilaments Of Plastics,4652288,5297126,8488046,15386087,22134567,25310059,29854882,20407539,22303582,28817774,32643215,37188710,39648328,34715410,49985051
582--Plates; Sheets; Film; Foil & Strip Of Plastics,116244920,137817019,200653032,316655334,419434921,498306607,502720815,440442840,578648996,692122460,771769331,841478165,908090867,939103021,971773441
581--Tubes; Pipes And Hoses Of Plastics,36624033,50909644,55803873,90723812,131026794,176722862,187088193,178643292,207296585,250873878,310151392,454633932,526562747,463704860,450773393
579--Waste; Parings And Scrap; Of Plastics,18798944,16359223,15875033,18900017,75964421,19712800,12534297,13076862,13083580,16902992,10024958,17505864,12436862,7497813,7888119
575--Plastics,130325469,129978236,188171006,224347575,146939615,164780349,212309164,172651319,272841043,301976652,401198476,499026110,669393997,606335967,527317752
574--Polyacetals and Epoxide Resins,1451506,2216184,14644178,135064390,118624166,87750541,144736758,116184557,98453190,190570470,135988445,131787892,183327832,125375055,94516026
573--Polymers Of Vinyl Chloride,3286923,2857806,8639026,19196498,21664808,27415701,37478687,25904979,53666973,109407711,87155144,67181102,72209033,69024223,66609254
572--Polymers Of Styrene,2023539,5288398,5722152,18683942,22595989,25100389,47901851,21240247,16417290,13371079,13721377,12166295,41834595,27065929,22737743
571--Polymers Of Ethylene,2021166,1686529,2660650,8976377,13195079,7127499,9518728,15620075,34937420,54640695,50871722,44104481,46444189,40827933,40949395
562--Fertilizers (Except Crude),3678985,56684361,49839242,19794444,46484566,200488312,342675342,97901595,259229003,194936544,177530095,313258006,791586761,622378887,230078074
554--Soap; Cleansing And Polishing Preparations,25918850,47187966,80662331,103529478,126933718,147014131,150381662,156047536,173172403,189939490,221767173,211843512,231830267,231701807,257912777
553--Perfumery; Cosmetics Or Toilet Preparations; Exce,188673713,204731226,241756190,312570972,373711490,493856799,558836261,536671871,657079459,734791043,852784739,824904846,873087149,988620445,1222889156
551--Essential Oils; Perfume And Flavor Materials,27966438,29016831,27238166,35176057,43988662,42865674,50654513,37366386,52402843,62575907,65205048,76175394,79697743,93725943,93134312
542--Medicaments (Including Veterinary Medicaments),11435297,14050050,13362121,14109957,16552844,45068561,73163751,44282429,69602076,112058621,156835035,156287508,256761587,319561834,420316592
541--Medicinal Products; Except Medicaments,329291564,430161162,514477975,649873582,699030591,896836026,1457941318,1542997234,1686004798,1754910979,1753222343,1686852001,1757172695,1951408290,1988739247
533--Pigments; Paints; Varnishes And Related Materials,43249026,53463157,77212338,117369139,127615239,131015295,124555224,111827872,140840926,180970315,220705356,243265767,259276770,264665206,246998518
532--Dyeing & Tanning Extracts,715428,998501,3362859,4439840,3856644,5990291,9949739,7301103,10089275,14496134,23022051,20595899,10988354,14919312,13909987
531--Synthetic Organic Coloring Matter,87319943,94695637,104108246,129976505,155851875,193377736,212319767,144023479,214728435,233914542,239716925,258395271,279221573,243677906,210650745
525--Radioactive And Associated Materials,136795766,141284183,119202589,117024255,108724844,74079065,124630714,68873178,118150777,763709763,260324150,269136450,284746530,130544412,147153371
524--Inorganic Chemicals; Precious Metal Compounds,70226504,69277732,96353585,168147517,228818820,221860535,232905900,123762438,206353654,268159045,237392273,198241029,196050641,150353707,115911781
523--Metallic Salts And Peroxysalts Of Inorganic Acids,101975793,103979733,142499264,151081296,196467954,247863855,359564747,273832493,293496854,451189032,395210337,316311729,363819833,352510449,344982324
522--Inorganic Chemical Elements,205446057,199021564,257404202,345397408,423239674,412279503,774450642,401417906,611757375,895930764,722835695,685024370,724589302,599956827,533169925
516--Organic Chemicals,65855754,87921717,124639952,213230649,261446631,286237505,385545294,370442068,551157154,667604715,772424832,718888111,804826053,815782997,708668000
515--Organo-Inorganic & Heterocyclic Compounds,196373503,276590323,370602265,574384923,713997810,930265469,2243523204,1494940512,1470758712,1815127941,2316557423,2735731772,2566018113,2383967085,2188757458
514--Nitrogen-Function Compounds,110861909,139527201,211956413,287406896,336822029,416047381,623423552,578535448,690626661,890530188,1038346702,1077963480,1154272035,1113706076,1035704274
513--Carboxylic Acids; Halides; & Derivatives,123276688,192863920,254757857,327120752,354222868,420877802,473145451,330843329,639486981,669282256,714800538,737318674,760599797,780974112,768798765
512--Alcohols; Phenols & Halogenated Derivatives,32851854,36873542,40944540,54373089,164920686,110069995,158797609,98563502,141097332,194942000,168039121,183511087,193285103,176655615,165277215
511--Hydrocarbons & Specified Derivatives,35611054,40019787,69535145,147577703,146543032,198626393,276957318,273654782,345976446,658738948,585370657,494408405,499182762,518964338,488892748
431--Animal/Vegetable Fats/Oils Preparations,1105109,1431729,1626530,2393726,4534470,4273621,5857260,7024307,5123079,8078702,10758719,13721004,16566801,19430018,17344986
422--Fixed Vegetable Fats & Oils; Crude,2899126,4375451,6130840,7274214,8187632,13406819,12234318,8278386,11888783,13962809,21378753,17059596,16754805,14710986,16530125
421--Fixed Vegetable Fats & Oils,1646972,1776186,1742145,2369475,2037750,2204121,3598351,2855288,2339488,2402589,1794179,1830685,2473787,4436733,2826825
411--Animal Oils And Fats,499346,1022080,1366038,2790624,5337471,11630038,19925467,26986993,27977025,22550749,17795360,21405471,14336379,17204161,13532319
344--Petroleum Gases & Other Gaseous Hydrocarbons,19000,0,4100,28332,0,388481,599913,93738,193790,19184664,65848,103653,380652,436269,349436
343--Natural Gas; Whether Or Not Liquefied,0,0,0,0,0,0,0,3750,0,0,0,0,17650,0,19239
342--Liquefied Propane And Butane,131376,37192,4125,10800,27222,60480,0,31350,28840,41029,57600,118026,238449,797687,773020
335--Residual Petroleum Products,95760295,91976231,128676813,120166889,204684864,190763967,291863426,180827712,221333574,207356699,201707776,222464247,166368920,173494471,179499421
334--Oil (Not Crude),40609562,147806507,47296020,53590521,92734731,102715016,42183477,3323646,42025555,1675221,4846652,83106802,261472801,301347319,436704906
333--Crude Oil,181799225,110596748,193726158,447073541,473915004,141796616,499812759,110961341,127249126,61886109,81167272,51921617,0,0,0
325--Coke and Semicoke Of Coal,95406705,97973475,644190828,368963950,392859297,219160087,1212768149,4992146,83794237,51311101,2241520,0,0,0,7106
322--Briquettes; Lignite And Peat,433252,841552,3526883,353294,319543,227666,2406431,1271733,1250338,656037,1758713,1358329,1262711,778117,359604
321--Coal; Pulverized Or Not,3555388,7387859,7286079,2581279,4302744,5614318,10289821,2621892,11621454,5752903,9481835,4780104,5612907,2813738,706811
292--Crude Vegetable Materials,131686846,157313737,173523044,184766920,217490925,241053082,258263520,272820044,310406664,387876267,464478883,474431876,475012830,525494848,525941583
291--Crude Animal Materials,193118185,218010267,265241887,275259367,277807202,329080244,317731788,274341816,328158716,363758936,441210789,459049836,460310932,423710922,375177936
289--Ores & Concencentrate Of Precious Metal,788690,1596339,2616653,4168273,6638350,12236829,40339530,35915073,34776125,28403265,40564427,27237119,43280022,44210819,34067568
288--Nonferrous Base Metal Waste & Scrap,1130489,1200152,6607283,2734707,9650401,4897924,8224582,5059018,4640373,10153120,15886286,11251820,19251765,12823926,13758791
287--Ores & Concentrates Of Base Metals,6313285,4510850,7844267,12308982,13141112,16848883,7045916,2250835,3595088,2792120,3491882,2959911,6065918,1846941,3060913
285--Aluminum Ores & Concentrates,17942219,18510892,29272800,23697812,27124596,32688760,87596621,20619496,44081860,38525791,42237324,47753141,85655046,46913038,38664025
284--Nickel Ores & Concentrates,0,0,0,0,2904,0,0,0,0,44560,18059,12219,3750,3620,3882468
283--Copper Ores & Concentrates,3107,2008,4290,5260,10199,8613,0,0,3600,5200,0,68596,6034,4916,11567
282--Ferrous Waste & Scrap,711541,182372,1094601,812180,724170,159882,404885,280569,163696,1332166,237191,473109,1792514,1129396,757522
281--Iron Ore And Concentrates,0,0,0,2105,4500,0,266298,2100,0,63655,114956,52475,23800,66900,66900
278--Crude Minerals,155763381,181235037,230944831,298053288,299993642,309045526,392112840,188911609,280027195,409181234,398503472,319861859,357990971,331451891,263570733
277--Natural Abrasives (Inc Industrial Diamonds),9242735,9779534,14329662,20850528,25774744,25884227,31590661,18248511,47521108,56979125,42441997,49002971,52234010,30849264,27985425
274--Sulfur And Unroasted Iron Pyrites,0,0,15037,5238,85127,162304,3818373,250202,1270402,920079,96222,2167859,1905224,2022434,1166500
273--Stone; Sand And Gravel,9671866,10298015,9990219,18733512,34618117,28218846,14574970,7850300,9546320,10522356,10007752,11525077,11318591,22017782,19821062
272--Fertilizer; Crude,180670,86529,91965,260828,292228,911326,753992,451476,470665,453982,1194836,1568174,1593634,2293747,3749866
269--Worn Clothing & Other Worn Textile Articles,157662,293344,741341,1104051,1602363,2363735,3621475,1828635,3038825,3076976,4656898,4718402,5056795,4946411,4148566
268--Wool & Other Animal Hair,7176322,5631337,5921318,8704403,11677117,6942116,5903484,4387168,4367747,5974970,4718340,7973307,6222670,7246826,5356143
267--Manmade Fibers For Spinning,146488,158318,1687073,7431529,16324712,41848546,33575328,44658710,48527403,58483583,62206351,66544500,74049860,75412639,81073930
266--Synthetic Fibers Suitable For Spinning,16773817,27601085,32881875,106287932,136313061,111085430,183333550,112422430,161254545,236082313,238245574,197329543,195875385,218012525,200534726
265--Vegetable Textile Fibers,135789,206741,283184,591326,651427,1480459,1157086,1416496,1495639,1518321,1127571,1790086,1959203,2455603,2031317
264--Jute Textile Fibers,706,1953,31640,12536,14908,99819,102176,19328,67096,93315,67816,30843,107768,54135,103106
263--Cotton Textile Fibers,47026,116473,19742,16261,165081,142772,118227,118960,346820,101170,34131,20475,5855,93073,97099
261--Silk Textile Fibers,213610,204641,156681,132860,313812,180876,172000,178053,462278,615400,121236,151557,211139,192722,281128
251--Pulp And Waste Paper,558986,940118,1244534,1922521,2490671,7096791,13474691,5390906,7413910,21161118,5891866,4120627,4564068,1586519,1777900
248--Wood; Simply Worked,73395886,115049241,224617373,310948485,350427024,334173155,210932566,122029298,147941470,149261959,159522807,179774791,194260419,228691001,258882517
247--Wood In The Rough,60726,365013,1108402,988989,1568712,2829240,2438713,1783357,3819885,2287400,2708612,2324074,2733616,2453362,1578116
246--Wood In Chips Or Particles And Wood Waste,124761,410892,497126,375531,291896,186001,486255,125483,197145,468855,320023,566843,90807,139270,376225
245--Fuel Wood & Wood Charcoal,748937,3932748,2566573,2717635,2371009,2699715,2309444,1093625,1418869,1884551,2025754,2408616,2616018,3834302,2606723
244--Cork; Natural; Raw & Waste,35072,62967,10159,31880,226809,193652,145636,69489,101584,106683,87443,75846,173472,165199,242407
232--Synthetic Rubber and Reclaim Rubber,2611390,4891454,5318144,9725476,14464954,19153251,36126413,24671445,43377500,77403586,79003155,53515160,69503540,52354252,46991424
231--Natural Rubber In Primary Form,34645,349185,128095,463539,906281,1525736,1013473,1203303,1284003,2940659,838138,2544760,332182,564626,341143
223--Oil Seeds and Oleaginous Fruit For Vegetable Oil,1490336,5015428,5556643,4920961,4683598,7094179,17502915,7193186,9597446,10461715,11489435,17645036,26122276,32879563,18841374
222--Oil Seeds and Oleaginous Fruit,3544248,5332447,17999814,29375624,22397586,26285138,61823065,50454699,18579780,20725409,71522649,86191608,65595465,44239569,26458480
212--Furskins; Raw,107247,85072,42433,52907,56065,64747,98163,34712,96412,110117,238566,65267,77217,45846,38999
211--Hides & Skins; Raw,109033,495883,256174,145211,86062,47008,1556325,587802,292434,132667,244076,321623,156975,71119,24316
122--Tobacco; Manufacturing,25096850,12722456,14114129,7311698,8565487,7248327,6499047,7869949,8126792,8969047,10625791,13596186,12151889,18478201,26190071
121--Tobacco; Tobacco Refuse,8147698,5625667,5601374,4348688,4693744,11893859,8412058,8236455,3890185,2470494,5320782,2416112,1039080,374616,3376083
112--Alcoholic Beverages,10018168,9238644,10245025,9966183,13542676,12693799,12038124,12471730,15860263,18395599,30570608,22544341,26661355,24207163,37712567
111--Nonalcoholic Beverages,4180599,7310069,13469799,9621463,11672041,19046932,18170828,13053900,12354858,13886769,24440639,27068003,28051870,23655458,24884660
098--Edible Products And Preparations,62433031,63513448,70925205,83390189,106806109,128245169,162691672,144660812,177931264,208677657,214742711,246337755,254778552,278945029,299476938
091--Margarine And Shortening,0,12115,68170,8719,147500,676600,716262,802627,2499501,1546153,808034,1533287,555703,1063417,720293
081--Feeding Stuff For Animals,29846792,34958002,42489899,88063235,138094493,165463065,199788292,229265339,301867723,372531515,475389877,340204739,303986558,292311494,292193549
075--Spices,31092088,38440099,54701271,53725534,49026829,62940331,83345960,80110109,107641098,121411065,116498375,130961558,163827922,155898634,144486297
074--Tea And Mate,27374368,35250158,38426019,47719559,60701393,70813474,80465232,66760812,82254841,102608779,125993591,128116825,118079983,124427883,136655022
073--Chocolate & Other Food Preparations Containing Co,609202,878430,4505652,5801690,9522148,10626610,12073903,7740138,3884090,3469981,5269306,4927202,6476674,7080875,6826583
072--Cocoa,9401064,11636796,17853292,36601003,38756180,30569140,53548871,4683545,2690594,1793669,1376550,6551406,5103576,14582627,18320749
071--Coffee And Coffee Substitutes,1360379,857835,851827,788221,1838794,1634611,3307837,3059778,29239234,27353337,29738108,21681188,22122152,28127720,33408081
062--Sugar Confectionery,46201190,53740838,66937804,86366238,99538742,123172213,125686115,119206953,136502499,142829949,131442526,136638641,154094321,146526479,141434643
061--Sugars; Molasses And Honey,9409514,37494002,33500998,24460252,30775724,14707958,9981437,11379782,10665690,16981383,7665677,9437257,14181764,16372963,18638982
059--Fruit/Vegetable Juices; Unfermented,54879773,101454050,166207825,186663513,206172812,437291792,675381290,356943787,385519097,558804981,634771165,542162026,396014782,321076230,325862411
058--Fruit Preserved and Fruit Preparations,119622311,173416257,195460076,260403290,311995423,399852178,465632065,447536847,472112950,544603941,601786289,614671905,590208165,619366141,569353506
057--Fruit and Nuts; Fresh Or Dried,49564353,59744274,93403061,97616685,118919435,144621424,162509072,137733285,133657829,125334427,142891872,155110794,146036485,168087348,161518042
056--Vegetables; Roots And Tubers; Prepared Or Preserv,86408589,114291211,134108189,141625633,180592994,231584765,238554102,201269721,257757235,306985445,317058406,277706866,269886541,306293855,386959462
054--Vegetables; Roots and Tubers; Fresh; Chilled or F,57648040,59806023,90499360,114145117,149552477,201264966,190908593,177880872,239806118,251216767,278771862,314655830,278615703,316869504,331717153
048--Cereal Preparations,30285782,35644641,41504089,50437322,63613549,71543451,88637226,77183775,88505950,107908574,118391683,115847706,121680751,128360874,133881127
047--Cereal Meals And Flours,177188,152199,510912,365431,196819,353526,415615,349418,449327,593637,342361,356981,634400,723487,683232
046--Meal And Flour Of Wheat And Meslin,207250,175003,373913,244246,392386,701630,831402,547502,776919,1053350,884303,983604,1165575,1426272,1467075
045--Cereals; Except Wheat; Rice; Barley; Maize,293077,349539,432214,483229,838407,838998,988454,1055456,1218351,3885135,2786091,1429213,2935668,4456221,2154291
044--Maize (Not Including Sweet Corn) Unmilled,95584,69134,120087,64882,242702,24218,146396,71223,247583,284262,116310,174655,237010,254408,147413
043--Barley; Unmilled,37437,22159,72882,72932,59700,27077,15690,58326,153988,97914,200388,263358,190692,242203,135252
042--Rice,276797,22946278,15286453,687862,36365994,43875769,24438085,4566610,3645074,5464872,3888719,3611035,4258148,5415357,4523345
041--Wheat And Meslin; Unmilled,0,0,2720,0,5400,0,0,34622,11817,22892,69281,341591,298756,56333,28800
037--Fish; Crustaceans and Molluscs,185652291,248756301,284937278,356438894,500868442,461730395,458763708,457711516,562222680,603752051,685041634,711022097,755852251,676727822,650707119
036--Crustacean,287984724,425268272,339605814,248848176,306284910,268846329,302768219,234328344,336282717,388227025,311441279,330589691,329136035,293545544,387220133
035--Fish; Dried; Smoked Fish,20453334,23089878,28939566,36246872,42606599,46911997,59101192,60813324,53093774,53474621,55335510,63881246,56980775,62787036,53933965
034--Fish; Fresh,371217495,448751953,587253880,803902111,1077034336,1234535078,1342189156,1269402430,1421135369,1588026246,1587873709,1563774983,1715156366,1545926410,1402082336
025--Birds' Eggs & Yolks; Fresh; Dried or Preserved,3538479,3522954,2753504,2648361,3652700,2920800,5243836,3939917,4272394,5462401,6831215,4987001,6551334,7108375,7636342
024--Cheese And Curd,0,37734,0,28348,3845,83734,0,0,0,0,0,0,0,0,0
023--Butter And Other Fats And Oils,0,0,0,0,0,2374,0,0,0,0,0,0,0,0,0
022--Milk; Cream; Milk Products Except Butter Or Chees,4407,13115,26629,238496,101335,217005,341727,36838,1197773,1387020,1642075,1319050,0,2400,24600
017--Meat & Edible Offal; Prepared Or Preserved,25992,19213,15713,38163,190077,138512,29506,54400,37119,45408,458211,322325,566670,769275,1020410
016--Meat & Edible Offal; Salted; Dried; or Smoked,0,0,108500,0,709738,253242,0,0,0,11035,0,0,0,0,10027
012--Other Meat & Edible Offal,8296702,6243212,7950463,10355122,11603436,17183930,15779470,18943772,21220808,24420092,12926672,13052338,24964627,21047141,17261990
011--Meat Of Bovine Animals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001--Live Animals,11542164,8833280,13614537,23618823,28977980,34509309,41772784,30266741,31787523,31447702,22556272,25513044,40973610,27704684,45341459
